date,cash,market_value,equity
2024-06-13,147.16567196432152,1917907.6337490082,1918054.7994209726
2024-06-14,147.16567196432152,1927753.8265972137,1927900.9922691782
2024-06-17,147.16567196432152,1921340.4040241241,1921487.5696960886
2024-06-18,147.16567196432152,1920171.086631775,1920318.2523037393
2024-06-19,147.16567196432152,1919865.9709281921,1920013.1366001565
2024-06-20,147.16567196432152,1915760.9695224762,1915908.1351944406
2024-06-21,147.16567196432152,1934626.3607826233,1934773.5264545877
2024-06-24,147.16567196432152,1953811.2685642242,1953958.4342361887
2024-06-25,147.16567196432152,1997136.4132785797,1997283.5789505441
2024-06-26,147.16567196432152,2095643.4506969452,2095790.6163689096
2024-06-27,147.16567196432152,2081193.9347515106,2081341.100423475
2024-06-28,147.16567196432152,2113076.796518326,2113223.96219029
2024-07-01,147.16567196432152,2140658.614648819,2140805.780320783
2024-07-02,147.16567196432152,2125680.27309227,2125827.438764234
2024-07-03,147.16567196432152,2125367.476085663,2125514.641757627
2024-07-04,147.16567196432152,2127583.4927196503,2127730.6583916144
2024-07-05,147.16567196432152,2161094.11113739,2161241.2768093543
2024-07-08,147.16567196432152,2156740.533399582,2156887.699071546
2024-07-09,147.16567196432152,2126274.04322052,2126421.208892484
2024-07-10,147.16567196432152,2157364.9753341675,2157512.1410061317
2024-07-11,147.16567196432152,2210781.374897003,2210928.5405689673
2024-07-12,147.16567196432152,2227047.5109272003,2227194.6765991645
2024-07-15,147.16567196432152,2311937.8901557922,2312085.0558277564
2024-07-16,147.16567196432152,2316271.6898784637,2316418.855550428
2024-07-17,386122.79893494514,1934399.024263382,2320521.823198327
2024-07-18,386122.79893494514,1972383.1978740692,2358505.996809014
2024-07-19,386122.79893494514,1922364.5453033447,2308487.3442382896
2024-07-22,570922.3690738288,1695809.338891983,2266731.7079658117
2024-07-23,570922.3690738288,1764735.5377922058,2335657.9068660345
2024-07-26,570922.3690738288,1753675.9709949493,2324598.340068778
2024-07-29,570922.3690738288,1692919.0098953247,2263841.3789691534
2024-07-30,570922.3690738288,1727067.0618782043,2297989.430952033
2024-07-31,570922.3690738288,1721962.3077983856,2292884.6768722143
2024-08-01,98526.43372088566,2268177.258956909,2366703.692677795
